source,target,value,label
UFR SMBH,UFR SMBH,873.8,43690
UFR LLSHS,UFR LLSHS,334.3,16715
IG,IG,276.98,13849
UFR DSPS,UFR DSPS,247.08,12354
UFR SEG,UFR SEG,148.52,7426
IUTSD,IUTSD,121.82,6091
IUTV,IUTV,119.04,5952
UFR COM,UFR COM,81.54,4077
IUTB,IUTB,58.58,2929
UFR DSPS,UFR LLSHS,467,467
UFR LLSHS,UFR SMBH,346,346
IUTV,UFR DSPS,301,301
IUTV,IG,299,299
UFR DSPS,UFR SMBH,295,295
UFR LLSHS,UFR DSPS,271,271
UFR SMBH,UFR LLSHS,265,265
UFR SMBH,IG,243,173
IG,UFR SEG,173,163
IUTV,UFR SEG,163,148
IUTSD,IUTV,148,128
IG,IUTV,128,127
IUTSD,IG,127,124
UFR SMBH,UFR DSPS,124,123
IUTSD,UFR SMBH,123,116
IUTB,UFR SEG,116,114
IUTB,UFR SMBH,114,109
IUTSD,UFR SEG,109,108
IUTV,UFR COM,108,102
UFR SMBH,IUTB,102,95
IG,UFR SMBH,95,94
UFR DSPS,UFR SEG,94,90
UFR SMBH,IUTSD,90,89
IG,IUTSD,89,87
IUTV,IUTB,87,86
IUTV,IUTSD,86,84
UFR SMBH,UFR SEG,84,78
UFR SEG,UFR LLSHS,78,75
IG,UFR LLSHS,75,74
UFR SEG,UFR DSPS,74,59
UFR LLSHS,UFR SEG,59,58
UFR SEG,UFR SMBH,58,58
UFR LLSHS,UFR COM,58,54
IUTSD,UFR COM,54,53
UFR LLSHS,IG,53,53
IUTB,UFR LLSHS,53,51
UFR DSPS,IUTV,51,50
IUTB,UFR COM,50,49
IUTSD,IUTB,49,47
UFR SMBH,IUTV,47,46
UFR DSPS,IUTSD,46,42
IUTB,IUTV,42,41
IUTSD,UFR LLSHS,41,41
UFR COM,UFR LLSHS,41,39
IUTSD,UFR DSPS,39,38
UFR LLSHS,IUTV,38,37
UFR DSPS,UFR COM,37,36
IUTB,IUTSD,36,36
IUTV,UFR LLSHS,36,33
UFR SEG,IUTSD,33,30
UFR SEG,IUTV,30,27
UFR SEG,IG,27,25
IUTV,UFR SMBH,25,24
IG,UFR DSPS,24,23
UFR LLSHS,IUTSD,23,19
UFR DSPS,IUTB,19,17
UFR LLSHS,IUTB,17,17
UFR SEG,IUTB,17,17
IG,IUTB,17,16
IUTB,UFR DSPS,16,13
UFR COM,UFR SEG,13,12
UFR SMBH,UFR COM,12,11
SERV ALR,UFR SMBH,11,11
UFR LLSHS,UPEC INSPÃ‰,11,9
UFR SEG,UFR COM,9,8
IUTB,IG,8,6
IG,UFR COM,6,5
UFR DSPS,IG,5,5
UFR COM,UFR DSPS,5,5
SERV ALR,IUTSD,5,5
UFR COM,IUTB,5,5
UFR COM,IUTV,5,4
SERV ALR,IUTV,4,4
SERV ALR,UFR DSPS,4,4
SEL,IG,4,4
UFR SMBH,SERV ALR,4,3
SERV ALR,IUTB,3,3
SERV ALR,IG,3,3
SERV ALR,UFR LLSHS,3,3
UFR COM,IUTSD,3,2
SERV ALR,UFR SEG,2,2
IG,SERV ALR,2,2
UFR LLSHS,SEL,2,2
SEL,UFR COM,2,1
SEL,UFR SEG,1,1
SEL,IUTSD,1,1
UFR LLSHS,SERV ALR,1,1
SEL,UFR SMBH,1,1
SEL,UFR LLSHS,1,1
UFR COM,UFR SMBH,1,1
UFR DSPS,SERV ALR,1,
