source,target,value
UFR SMBH,UFR SMBH,873.8
UFR LLSHS,UFR LLSHS,334.3
IG,IG,276.98
UFR DSPS,UFR DSPS,247.08
UFR SEG,UFR SEG,148.52
IUTSD,IUTSD,121.82
IUTV,IUTV,119.04
UFR COM,UFR COM,81.54
IUTB,IUTB,58.58
UFR DSPS,UFR LLSHS,467
UFR LLSHS,UFR SMBH,346
IUTV,UFR DSPS,301
IUTV,IG,299
UFR DSPS,UFR SMBH,295
UFR LLSHS,UFR DSPS,271
UFR SMBH,UFR LLSHS,265
UFR SMBH,IG,243
IG,UFR SEG,173
IUTV,UFR SEG,163
IUTSD,IUTV,148
IG,IUTV,128
IUTSD,IG,127
UFR SMBH,UFR DSPS,124
IUTSD,UFR SMBH,123
IUTB,UFR SEG,116
IUTB,UFR SMBH,114
IUTSD,UFR SEG,109
IUTV,UFR COM,108
UFR SMBH,IUTB,102
IG,UFR SMBH,95
UFR DSPS,UFR SEG,94
UFR SMBH,IUTSD,90
IG,IUTSD,89
IUTV,IUTB,87
IUTV,IUTSD,86
UFR SMBH,UFR SEG,84
UFR SEG,UFR LLSHS,78
IG,UFR LLSHS,75
UFR SEG,UFR DSPS,74
UFR LLSHS,UFR SEG,59
UFR SEG,UFR SMBH,58
UFR LLSHS,UFR COM,58
IUTSD,UFR COM,54
UFR LLSHS,IG,53
IUTB,UFR LLSHS,53
UFR DSPS,IUTV,51
IUTB,UFR COM,50
IUTSD,IUTB,49
UFR SMBH,IUTV,47
UFR DSPS,IUTSD,46
IUTB,IUTV,42
IUTSD,UFR LLSHS,41
UFR COM,UFR LLSHS,41
IUTSD,UFR DSPS,39
UFR LLSHS,IUTV,38
UFR DSPS,UFR COM,37
IUTB,IUTSD,36
IUTV,UFR LLSHS,36
UFR SEG,IUTSD,33
UFR SEG,IUTV,30
UFR SEG,IG,27
IUTV,UFR SMBH,25
IG,UFR DSPS,24
UFR LLSHS,IUTSD,23
UFR DSPS,IUTB,19
UFR LLSHS,IUTB,17
UFR SEG,IUTB,17
IG,IUTB,17
IUTB,UFR DSPS,16
UFR COM,UFR SEG,13
UFR SMBH,UFR COM,12
SERV ALR,UFR SMBH,11
UFR LLSHS,UPEC INSPÃ‰,11
UFR SEG,UFR COM,9
IUTB,IG,8
IG,UFR COM,6
UFR DSPS,IG,5
UFR COM,UFR DSPS,5
SERV ALR,IUTSD,5
UFR COM,IUTB,5
UFR COM,IUTV,5
SERV ALR,IUTV,4
SERV ALR,UFR DSPS,4
SEL,IG,4
UFR SMBH,SERV ALR,4
SERV ALR,IUTB,3
SERV ALR,IG,3
SERV ALR,UFR LLSHS,3
UFR COM,IUTSD,3
SERV ALR,UFR SEG,2
IG,SERV ALR,2
UFR LLSHS,SEL,2
SEL,UFR COM,2
SEL,UFR SEG,1
SEL,IUTSD,1
UFR LLSHS,SERV ALR,1
SEL,UFR SMBH,1
SEL,UFR LLSHS,1
UFR COM,UFR SMBH,1
UFR DSPS,SERV ALR,1
